BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Greutstraße,02593,8421000,1619,STR,,,
Griesbadgasse,02600,8421000,109,STR,,,
Griesgasse,02613,8421000,698,STR,,,
Grimmelfinger Weg,02626,8421000,450,STR,,,
Grüner Graben,02639,8421000,282,STR,,,
Grüner Hof,02652,8421000,3,STR,,,
Grüner Weg,02665,8421000,550,STR,,,
Grünhofgasse,02678,8421000,116,STR,,,
Güterbahnhof,02691,8421000,528,STR,,,
Gutenbergstraße,02704,8421000,215,STR,m,,https://de.wikipedia.org/wiki/Johannes_Gutenberg
Gutenzellerweg,02710,8421000,1370,STR,?,,
Häberlinweg,02717,8421000,636,STR,?,,
Hämpfergasse,02730,8421000,40,STR,,,
Hafenbad,02743,8421000,63,STR,,,
Hafenberg,02746,8421000,1738,STR,,,
Hafengasse,02756,8421000,58,STR,,,
Hahnengasse,02769,8421000,108,STR,,,
Haidweg,02782,8421000,401,STR,,,
Haifischweg,02785,8421000,1232,STR,,,
Halde,02788,8421000,1343,STR,,,
Haldenäcker,02790,8421000,1011,STR,,,
Haldenweg,02795,8421000,762,STR,,,
Hammerstraße,02808,8421000,348,STR,,,
Hans-Acker-Weg,02812,8421000,787,STR,m,,https://de.wikipedia.org/wiki/Hans_Acker
Hans-Albrecht-Bethe-Straße,02813,8421000,1817,STR,m,,https://de.wikipedia.org/wiki/Hans_Bethe
Hans-Krebs-Weg,02816,8421000,307,STR,m,,
Hans-Lorenser-Straße,02818,8421000,597,STR,m,,https://de.wikipedia.org/wiki/Hans_Lorenser
Hans-Reyhing-Weg,02820,8421000,1663,STR,m,,https://de.wikipedia.org/wiki/Hans_Reyhing
Harthausen,02821,8421000,839,STR,,,
Hans-und-Sophie-Scholl-Platz,02822,8421000,1755,STR,mw,,https://de.wikipedia.org/wiki/Geschwister_Scholl
Harthauser Straße,02834,8421000,683,STR,,,
Hartmannstraße,02847,8421000,187,STR,?,,
Hartstraße,02852,8421000,1624,STR,,,
Haselbühl,02860,8421000,327,STR,,,
Haselnussweg,02862,8421000,1748,STR,,,
Hasenbühlweg,02866,8421000,1391,STR,,,
Hasensteige,02873,8421000,797,STR,,,
Haslacher Steig,02880,8421000,1756,STR,,,
Haslacher Straße,02884,8421000,1373,STR,,,
Haslacher Weg,02886,8421000,484,STR,,,
Haßlerstraße,02899,8421000,404,STR,?,,
Hauffstraße,02912,8421000,158,STR,m,,https://de.wikipedia.org/wiki/Wilhelm_Hauff
Hauptbahnhof,02925,8421000,524,STR,,,
Hauptstraße,02938,8421000,863,STR,,,
Hechtweg,02948,8421000,1331,STR,,,
Heckenbühl,02951,8421000,295,STR,,,
Heidelbeerweg,02964,8421000,727,STR,,,
Heidenheimer Straße,02977,8421000,196,STR,,,
Heigeleshof,02990,8421000,52,STR,,,
Heilmeyersteige,02997,8421000,715,STR,m,,https://de.wikipedia.org/wiki/Ludwig_Heilmeyer
Heimstättenstraße,03003,8421000,362,STR,,,
Heimstraße,03016,8421000,121,STR,m,,https://de.wikipedia.org/wiki/Karl_von_Heim
Heinestraße,03022,8421000,1306,STR,m,,https://de.wikipedia.org/wiki/Heinrich_Heine
Heinrichstraße,03042,8421000,426,STR,?,,
Heinz-Brenner-Weg,03048,8421000,1805,STR,m,,https://de.wikipedia.org/wiki/Heinz_Brenner
